year,numCandidates,africanAmerican,female,hs_pct,poverty,unemp,voter_turnout
2009,2,0,0,0.24,0.24,0.11,27.89
1994,5,1,0,0.19,0.64,0.32,62.98
1998,6,1,0,0.19,0.64,0.32,57.26
2002,2,1,0,0.19,0.64,0.32,50.32
2010,4,1,0,0.19,0.64,0.32,58.05
1990,2,1,1,0.22,0.4,0.14,72.38
1994,2,1,1,0.22,0.4,0.14,72.51
1998,2,1,1,0.22,0.4,0.14,67.5
2002,2,1,1,0.22,0.4,0.14,42.48
2006,3,1,0,0.22,0.4,0.14,57.23
2007,4,1,0,0.22,0.4,0.14,59.35
2010,2,1,0,0.22,0.4,0.14,45.42
2002,3,1,0,0.27,0.22,0.1,40.98
2006,3,1,1,0.27,0.22,0.1,42.86
2010,4,1,1,0.27,0.22,0.1,35.88
1998,5,1,0,0.31,0.32,0.13,66.58
2002,4,1,0,0.31,0.32,0.13,52.79
2006,3,1,0,0.31,0.32,0.13,40.53
2010,2,1,0,0.31,0.32,0.13,42.12
1998,2,1,0,0.37,0.3,0.15,66.72
2002,3,1,0,0.37,0.3,0.15,71.55
2010,3,1,0,0.37,0.3,0.15,65.67
2000,2,0,1,0.4,0.26,0.03,67.3
2008,2,0,0,0.31,0.15,0.16,60.93
1992,2,0,0,0.36,0.22,0.08,83.63
2000,2,0,1,0.36,0.22,0.08,58.99
2008,2,0,0,0.36,0.22,0.08,31.14
1996,1,0,0,0.41,0.16,0.06,81.72
2000,3,0,0,0.41,0.16,0.06,74.1
2004,3,0,0,0.41,0.16,0.06,19.73
1992,3,0,0,0.31,0.18,0.1,67.83
1995,6,0,0,0.31,0.18,0.1,64.21
1996,2,0,0,0.31,0.18,0.1,69.28
2004,2,0,1,0.31,0.18,0.1,59.17
1992,2,0,0,0.3,0.23,0.11,68.55
2000,2,0,0,0.3,0.23,0.11,57.49
2004,2,1,0,0.28,0.49,0.18,41.64
1990,4,1,0,0.32,0.28,0.05,86.07
1994,2,0,0,0.32,0.28,0.05,71.83
1998,2,0,0,0.32,0.28,0.05,65.93
2002,2,0,0,0.32,0.28,0.05,71.09
2006,3,1,0,0.32,0.28,0.05,65.52
2010,2,1,1,0.32,0.28,0.05,54.88
1990,2,0,0,0.25,0.3,0,70.66
1994,2,0,0,0.25,0.3,0,75.46
1996,3,0,0,0.31,0.22,0.09,76.04
1990,2,0,0,0.21,0.38,0.12,75.64
1994,3,0,1,0.21,0.38,0.12,75.99
1998,2,0,0,0.21,0.38,0.12,63
2002,4,0,0,0.21,0.38,0.12,59.92
2004,3,0,1,0.21,0.38,0.12,58.05
2006,3,0,1,0.21,0.38,0.12,48.46
2010,3,1,1,0.21,0.38,0.12,38.77
1992,2,0,0,0.22,0.1,0.05,59.51
2000,2,0,1,0.22,0.1,0.05,15.95
2010,2,0,1,0.22,0.1,0.05,33.69
2002,2,0,0,0.25,0.4,0.11,41
2002,2,1,0,0.29,0.33,0.17,57.88
2006,2,1,0,0.29,0.33,0.17,54.39
1990,2,1,0,0.25,0.44,0.18,79.11
1994,3,1,0,0.25,0.44,0.18,61.62
2002,2,1,1,0.25,0.44,0.18,58.01
2006,2,1,0,0.25,0.44,0.18,36.88
2010,2,1,0,0.25,0.44,0.18,35.96
2001,3,0,0,0.28,0.44,0.17,49.17
2009,2,1,0,0.28,0.44,0.17,41.41
1990,3,1,0,0.3,0.36,0.11,84.69
1994,3,1,0,0.3,0.36,0.11,80.45
2006,2,1,0,0.3,0.36,0.11,67.86
2010,2,1,0,0.3,0.36,0.11,71.52
1990,3,0,0,0.31,0.27,0.06,78.94
1994,2,0,0,0.31,0.27,0.06,65.31
1998,2,0,0,0.31,0.27,0.06,57.75
1994,2,1,0,0.24,0.42,0.2,55.97
2002,2,0,0,0.24,0.42,0.2,53.79
2010,3,0,0,0.24,0.42,0.2,47.53
2006,1,0,0,0.31,0.24,0.12,36.08
2010,2,0,0,0.31,0.24,0.12,40.83
1990,4,0,0,0.31,0.47,0.17,77.85
1994,4,1,1,0.31,0.47,0.17,75.69
1998,2,0,0,0.31,0.47,0.17,58.9
1999,2,1,1,0.31,0.47,0.17,72.72
2002,3,1,0,0.31,0.47,0.17,66.13
2006,2,1,1,0.31,0.47,0.17,65.12
2010,3,1,1,0.31,0.47,0.17,57.92
1990,2,0,1,0.31,0.39,0.1,85.31
1994,2,0,0,0.31,0.39,0.1,58.72
1998,2,0,0,0.31,0.39,0.1,50.85
2006,2,0,1,0.31,0.39,0.1,50.8
2002,2,0,0,0.31,0.29,0.11,63.78
1998,3,0,1,0.36,0.33,0.13,52.14
2002,3,0,1,0.36,0.33,0.13,65.22
2006,2,0,1,0.36,0.33,0.13,60.89
2011,2,0,1,0.36,0.33,0.13,66.89
1990,3,0,0,0.28,0.31,0.15,74.58
1994,3,0,1,0.28,0.31,0.15,51.59
1998,2,0,0,0.28,0.31,0.15,33.43
2006,4,0,0,0.28,0.31,0.15,39.79
2010,4,0,0,0.28,0.31,0.15,38.97
1992,4,1,0,0.18,0.38,0.12,58.64
2000,5,1,0,0.18,0.38,0.12,54.21
2001,3,1,0,0.18,0.38,0.12,51.72
2004,8,1,1,0.18,0.38,0.12,30.96
1988,2,0,0,0.29,0.35,0.1,53.33
1994,3,0,1,0.29,0.35,0.1,66.89
2006,2,0,0,0.29,0.35,0.1,42.94
2010,2,0,1,0.29,0.35,0.1,47.46
1990,2,0,1,0.31,0.18,0.1,69.14
1998,3,1,0,0.31,0.18,0.1,54.92
2006,2,0,1,0.31,0.18,0.1,33.78
2010,2,0,1,0.31,0.18,0.1,27.88
1990,2,0,0,0.26,0.29,0.06,81.66
2002,3,0,0,0.26,0.29,0.06,65.08
2006,2,0,0,0.26,0.29,0.06,59.19
2010,2,0,0,0.26,0.29,0.06,63.91
1992,2,0,0,0.28,0.24,0.11,58.92
1996,2,0,0,0.28,0.24,0.11,66.94
2000,2,0,0,0.28,0.24,0.11,77.94
2004,4,0,1,0.28,0.24,0.11,56.05
2008,2,0,0,0.28,0.24,0.11,40.52
2002,2,0,1,0.43,0.18,0.06,68.92
1994,2,0,1,0.35,0.28,0.05,79.77
1998,2,0,1,0.35,0.28,0.05,65.8
2006,2,0,0,0.35,0.28,0.05,55.97
2007,3,0,0,0.35,0.28,0.05,61.7
2010,2,0,0,0.35,0.28,0.05,59.93
1990,4,1,0,0.18,0.28,0.18,84.3
1994,2,1,0,0.18,0.28,0.18,77.36
2002,2,1,0,0.18,0.28,0.18,57.85
2006,2,1,0,0.18,0.28,0.18,63.85
2010,2,1,0,0.18,0.28,0.18,52.11
1998,3,1,0,0.25,0.7,0.4,37.33
2002,3,1,1,0.25,0.7,0.4,32.6
2006,2,1,1,0.25,0.7,0.4,29.76
2010,3,1,1,0.25,0.7,0.4,30.84
2000,5,1,0,0.17,0.4,0.15,39.86
2004,2,1,0,0.17,0.4,0.15,51.96
2000,3,1,0,0.32,0.54,0.13,57.78
2004,2,1,0,0.32,0.54,0.13,49.21
1988,6,0,1,0.28,0.29,0.13,62.26
1992,5,0,0,0.28,0.29,0.13,59.71
1998,4,0,1,0.28,0.29,0.13,40.73
2000,4,1,1,0.28,0.29,0.13,57.87
1994,3,1,0,0.3,0.08,0.08,57.67
1998,2,1,0,0.3,0.08,0.08,47.53
2002,2,1,1,0.3,0.08,0.08,55.4
2010,2,0,1,0.3,0.08,0.08,37.36
2002,3,1,1,0.27,0.36,0.12,82.76
2006,2,1,0,0.27,0.36,0.12,68.48
2010,5,1,0,0.27,0.36,0.12,59.97
1990,2,0,1,0.47,0.16,0,74.28
1994,2,0,1,0.47,0.16,0,36.41
1997,2,0,0,0.34,0.23,0.18,46.26
2002,2,0,1,0.34,0.23,0.18,48.47
2006,3,0,1,0.34,0.23,0.18,54.06
2010,4,0,1,0.34,0.23,0.18,53.53
2004,2,0,0,0.28,0.34,0.04,62.77
1992,3,1,1,0.31,0.38,0.14,64.38
1996,2,0,0,0.31,0.38,0.14,68.27
2004,3,0,1,0.31,0.38,0.14,55.17
2008,3,1,1,0.31,0.38,0.14,60.2
1998,2,0,0,0.23,0.36,0.1,53.85
2002,4,0,0,0.23,0.36,0.1,45.95
2010,3,0,1,0.23,0.36,0.1,40.61
1990,2,0,0,0.27,0.35,0.11,83.71
1995,2,0,0,0.27,0.35,0.11,72.79
2002,2,0,0,0.27,0.35,0.11,55.44
2006,3,1,0,0.27,0.35,0.11,53.35
2010,2,0,0,0.27,0.35,0.11,41.7
1988,3,0,0,0.31,0.44,0.18,63.69
2004,3,0,1,0.31,0.44,0.18,49.78
2008,2,0,0,0.31,0.44,0.18,44.78
1994,3,0,0,0.31,0.18,0.11,72.59
1998,2,0,0,0.31,0.18,0.11,39.96
2002,3,0,0,0.31,0.18,0.11,57.65
2006,2,0,1,0.31,0.18,0.11,54.12
2010,4,0,1,0.31,0.18,0.11,38.84
1990,3,1,0,0.23,0.45,0.19,74.72
1994,3,1,0,0.23,0.45,0.19,58.49
1998,3,1,0,0.23,0.45,0.19,45.63
2002,4,1,1,0.23,0.45,0.19,45.26
2006,4,1,1,0.23,0.45,0.19,57.9
2010,4,1,1,0.23,0.45,0.19,37.36
1990,2,0,0,0.23,0.3,0.08,86.45
1994,2,0,0,0.23,0.3,0.08,89.82
1998,2,1,0,0.23,0.3,0.08,37.12
2006,3,1,0,0.23,0.3,0.08,40.29
2010,2,1,0,0.23,0.3,0.08,42.73
2006,3,1,1,0.3,0.29,0.13,43.67
2010,2,1,0,0.3,0.29,0.13,37.75
1990,3,1,1,0.34,0.24,0.04,76.59
2010,3,0,0,0.34,0.24,0.04,27.53
1988,2,0,0,0.22,0.31,0.12,53.44
1992,2,0,0,0.22,0.31,0.12,74.46
1996,2,0,0,0.22,0.31,0.12,73.66
2000,2,0,0,0.22,0.31,0.12,64.76
2004,3,0,0,0.22,0.31,0.12,68.88
2008,3,0,0,0.22,0.31,0.12,71.55
1994,3,0,0,0.24,0.21,0.08,34.38
1998,4,0,1,0.24,0.21,0.08,30.93
2000,3,1,0,0.24,0.21,0.08,23.73
2002,2,1,0,0.24,0.21,0.08,20.95
1994,2,1,1,0.23,0.36,0,79.52
2002,2,0,0,0.3,0.3,0.17,51.81
2004,3,1,1,0.3,0.3,0.17,58.78
1992,4,0,0,0.26,0.29,0.08,71.27
2000,3,0,0,0.26,0.29,0.08,64.67
2008,2,0,0,0.26,0.29,0.08,47.97
1992,2,0,0,0.46,0.18,0.15,80.13
1996,3,0,1,0.46,0.18,0.15,80.23
2008,2,0,1,0.46,0.18,0.15,70.81
1992,3,1,0,0.34,0.45,0.18,66.83
2000,2,1,0,0.34,0.45,0.18,54.84
2003,2,1,1,0.34,0.45,0.18,60.35
2004,2,1,1,0.34,0.45,0.18,61.36
1994,2,0,1,0.24,0.28,0.13,62.5
1998,2,0,0,0.24,0.28,0.13,63.04
2002,2,0,0,0.24,0.28,0.13,58.86
2006,2,0,0,0.24,0.28,0.13,55.84
2010,2,0,0,0.24,0.28,0.13,62.85
1996,2,0,0,0.28,0.36,0.17,39.66
2000,2,1,0,0.28,0.36,0.17,26.44
2004,7,1,1,0.28,0.36,0.17,34.51
1988,2,0,0,0.29,0.24,0.1,67.44
1992,5,1,1,0.29,0.24,0.1,76.76
2000,2,0,1,0.29,0.24,0.1,65.34
2004,2,1,1,0.29,0.24,0.1,68.47
2008,2,1,0,0.29,0.24,0.1,53.55
2011,3,1,1,0.29,0.24,0.1,62.78
1990,3,0,0,0.31,0.31,0.12,78.65
1994,4,1,0,0.31,0.31,0.12,67.45
1998,2,0,0,0.31,0.31,0.12,54.07
2002,2,0,0,0.31,0.31,0.12,53.28
2006,6,1,1,0.31,0.31,0.12,67.19
2010,2,0,0,0.31,0.31,0.12,43.81
1992,2,0,1,0.32,0.12,0.17,72.54
1996,2,0,1,0.32,0.12,0.17,63.93
2000,2,0,1,0.32,0.12,0.17,42.44
2004,2,0,1,0.32,0.12,0.17,54.29
2008,2,0,1,0.32,0.12,0.17,31.46
2000,2,1,1,0.19,0.64,0.15,67.83
1990,2,0,1,0.31,0.35,0.11,76.88
1994,2,0,1,0.31,0.35,0.11,75.78
1995,3,0,1,0.31,0.35,0.11,70.54
2001,2,0,1,0.31,0.35,0.11,54.6
1994,3,0,0,0.28,0.38,0.15,72.69
1994,2,1,0,0.21,0.46,0.2,63.47
1998,3,1,0,0.21,0.46,0.2,51.2
2002,2,1,0,0.21,0.46,0.2,51.22
2006,3,1,0,0.21,0.46,0.2,26.81
2010,3,1,0,0.21,0.46,0.2,41.22
1998,3,0,1,0.34,0.21,0.19,38.27
2002,2,0,1,0.34,0.21,0.19,50.82
2005,3,0,0,0.34,0.21,0.19,15.99
1990,2,0,0,0.33,0.22,0.07,72.28
1994,2,0,1,0.33,0.22,0.07,60.66
1997,2,0,0,0.33,0.22,0.07,61.85
1998,3,0,0,0.33,0.22,0.07,52.69
1992,3,1,1,0.28,0.43,0.12,39.31
1996,3,1,0,0.28,0.43,0.12,22.64
2000,3,1,1,0.28,0.43,0.12,18.31
2004,3,1,0,0.28,0.43,0.12,33.1
2008,2,1,0,0.28,0.43,0.12,37.18
2010,2,1,0,0.28,0.43,0.12,32.09
1990,2,0,0,0.35,0.18,0.09,68.97
2002,2,0,1,0.35,0.18,0.09,54.03
2010,2,0,0,0.35,0.18,0.09,39.16
2002,2,0,0,0.35,0.46,0.22,61.41
2005,2,0,0,0.35,0.46,0.22,43.25
2006,3,0,1,0.35,0.46,0.22,57.15
2007,2,1,0,0.35,0.46,0.22,61.48
2010,3,1,1,0.35,0.46,0.22,54.11
1997,2,0,0,0.31,0.28,0.36,78.8
1998,3,1,1,0.31,0.28,0.36,79.18
2006,2,0,1,0.31,0.28,0.36,30.07
1988,2,0,1,0.34,0.29,0.1,56.96
1993,3,0,1,0.34,0.29,0.1,67.91
1996,2,0,1,0.34,0.29,0.1,67.1
2000,2,1,0,0.34,0.29,0.1,39.45
2004,2,0,0,0.34,0.29,0.1,43.77
2007,1,0,0,0.34,0.29,0.1,42.99
2008,2,0,1,0.34,0.29,0.1,36.38
1996,3,0,1,0.32,0.31,0.15,83.61
2004,2,0,0,0.32,0.31,0.15,80.16
1988,2,0,0,0.28,0.48,0.13,67.13
1992,2,0,0,0.28,0.48,0.13,75.66
1996,2,1,1,0.28,0.48,0.13,73.38
2000,2,0,0,0.28,0.48,0.13,64.74
2004,2,0,0,0.28,0.48,0.13,59.24
1997,2,0,0,0.28,0.18,0.08,57.85
2004,2,0,1,0.28,0.18,0.08,39.4
2010,2,0,1,0.28,0.18,0.08,34.45
1990,2,0,1,0.11,0.3,0.11,68.16
1994,4,0,1,0.11,0.3,0.11,42.62
1998,3,0,1,0.11,0.3,0.11,47.81
2002,2,0,1,0.11,0.3,0.11,46.59
2010,3,0,0,0.11,0.3,0.11,28.08
1992,2,1,0,0.27,0.5,0.17,70.52
1996,3,1,1,0.27,0.5,0.17,68.33
2000,2,1,0,0.27,0.5,0.17,62.5
2004,3,1,0,0.27,0.5,0.17,53.75
2008,4,1,1,0.27,0.5,0.17,67.37
1992,4,1,1,0.24,0.37,0.16,76.21
1994,2,1,0,0.24,0.37,0.16,75.38
1998,3,1,1,0.24,0.37,0.16,60.23
2002,2,1,0,0.24,0.37,0.16,59.52
2006,4,1,0,0.24,0.37,0.16,52.67
2010,2,1,1,0.24,0.37,0.16,22
1992,2,0,1,0.31,0.36,0.11,47.12
2004,3,0,1,0.31,0.36,0.11,34.04
1992,2,0,0,0.35,0.14,0.1,75.38
1996,3,0,1,0.35,0.14,0.1,71.85
2000,2,0,1,0.35,0.14,0.1,51.34
2008,2,0,0,0.35,0.14,0.1,48.96
1990,2,0,1,0.31,0.19,0.05,69.56
1994,2,0,1,0.31,0.19,0.05,52.97
1998,2,0,1,0.31,0.19,0.05,31.7
2006,2,0,1,0.31,0.19,0.05,21.63
2010,3,1,0,0.31,0.19,0.05,24.23
1990,12,1,1,0.26,0.25,0.11,65.48
1994,9,1,0,0.26,0.25,0.11,51
1998,5,1,0,0.26,0.25,0.11,32.19
2002,2,0,0,0.26,0.25,0.11,35.47
2006,8,1,1,0.26,0.25,0.11,40.95
2010,7,1,0,0.26,0.25,0.11,28.59
1988,2,0,0,0.35,0.15,0.1,75.13
1992,2,0,1,0.35,0.15,0.1,69.95
2000,2,0,0,0.35,0.15,0.1,59.18
2004,3,0,0,0.35,0.15,0.1,65.13
1994,2,1,1,0.27,0.49,0.16,82.87
1998,2,0,1,0.27,0.49,0.16,70.93
2001,2,1,1,0.27,0.49,0.16,60.64
2002,2,1,0,0.27,0.49,0.16,26.55
2010,2,1,1,0.27,0.49,0.16,57.22
1988,2,0,0,0.27,0.06,0.02,47.97
2000,2,0,1,0.27,0.06,0.02,32
1988,2,1,0,0.27,0.45,0.19,59.87
1992,2,0,0,0.27,0.45,0.19,68.81
2000,2,0,0,0.27,0.45,0.19,54.57
2004,2,0,0,0.27,0.45,0.19,45.21
2008,2,0,0,0.27,0.45,0.19,48.81
1992,2,0,0,0.26,0.13,0.12,76.91
2000,2,0,0,0.26,0.13,0.12,68.4
2000,2,0,0,0.28,0.22,0.09,42.63
2002,2,0,1,0.28,0.22,0.09,45.31
2006,2,1,1,0.28,0.22,0.09,43.01
2010,2,1,0,0.28,0.22,0.09,47.29
1992,2,0,0,0.38,0.1,0.11,71.52
1996,3,0,0,0.38,0.1,0.11,67.01
2000,2,0,1,0.38,0.1,0.11,56.35
1994,3,0,0,0.25,0.1,0.05,31.11
1998,2,0,0,0.25,0.1,0.05,23.48
2002,3,0,0,0.25,0.1,0.05,25.54
2006,2,0,0,0.25,0.1,0.05,25.41
2010,3,0,0,0.25,0.1,0.05,36.1
1993,4,0,0,0.33,0.2,0.09,77.55
1997,3,0,1,0.33,0.2,0.09,71.62
2001,2,0,1,0.33,0.2,0.09,70.43
2005,3,0,1,0.33,0.2,0.09,57.82
2009,2,1,0,0.33,0.2,0.09,47.02
2011,2,1,0,0.33,0.2,0.09,39.54
1992,3,1,1,0.3,0.46,0.23,68.35
1994,2,1,1,0.3,0.46,0.23,52.19
1996,2,1,1,0.3,0.46,0.23,48.06
2000,3,1,1,0.3,0.46,0.23,45.41
2008,2,1,1,0.3,0.46,0.23,52.05
2011,2,0,1,0.41,0.2,0.04,48.06
1993,2,0,1,0.35,0.18,0.11,70.53
1994,2,0,0,0.28,0.2,0.08,62.12
2002,3,0,0,0.28,0.2,0.08,46.62
2006,2,0,0,0.28,0.2,0.08,46.17
2010,2,1,0,0.28,0.2,0.08,43.69
1990,3,0,0,0.36,0.18,0.07,77.81
1994,2,0,0,0.36,0.18,0.07,66.39
1998,3,0,0,0.36,0.18,0.07,35.94
2002,2,0,0,0.36,0.18,0.07,43.84
2006,2,0,0,0.36,0.18,0.07,51.41
2010,2,0,0,0.36,0.18,0.07,45.74
2002,2,0,0,0.35,0.16,0.09,35.67
2006,2,0,0,0.35,0.16,0.09,40.66
1998,2,0,0,0.31,0.12,0.07,37.41
2002,7,0,1,0.31,0.12,0.07,39.19
2006,2,0,0,0.31,0.12,0.07,26.63
2010,2,0,0,0.31,0.12,0.07,29.57
1995,2,0,0,0.31,0.25,0.19,56.93
2003,2,0,1,0.31,0.25,0.19,51.75
2011,2,0,0,0.31,0.25,0.19,41.74
1994,2,0,0,0.27,0.46,0.15,75.6
1998,2,1,0,0.27,0.46,0.15,67.42
2002,1,0,0,0.27,0.46,0.15,60.43
2006,2,0,0,0.27,0.46,0.15,58
2010,2,0,1,0.27,0.46,0.15,45.29
1994,2,1,0,0.23,0.52,0.2,52.39
1998,2,1,0,0.23,0.52,0.2,38.82
2002,3,1,0,0.23,0.52,0.2,46.04
2006,6,1,0,0.23,0.52,0.2,44.54
2010,5,1,0,0.23,0.52,0.2,55.87
1988,2,1,1,0.26,0.58,0.19,61.62
2000,2,1,0,0.26,0.58,0.19,60.35
2004,2,1,0,0.26,0.58,0.19,51.9
2008,3,1,1,0.26,0.58,0.19,54.39
1990,4,1,1,0.19,0.34,0.09,76.83
1994,5,1,1,0.19,0.34,0.09,63.77
1998,5,1,0,0.19,0.34,0.09,55.33
2002,5,0,0,0.19,0.34,0.09,57.66
2006,2,1,1,0.19,0.34,0.09,42.45
2010,2,0,0,0.19,0.34,0.09,48.27
1990,2,0,0,0.31,0.28,0.12,66.73
1994,2,0,0,0.31,0.28,0.12,77.59
1998,3,0,0,0.31,0.28,0.12,60.42
2002,2,0,1,0.31,0.28,0.12,51.96
2006,2,0,0,0.31,0.28,0.12,50.71
1998,2,0,0,0.41,0.15,0.1,59.18
2006,2,0,0,0.41,0.15,0.1,42.55
2010,2,0,0,0.41,0.15,0.1,19.6
1990,2,0,0,0.29,0.23,0.05,77.48
1994,2,0,0,0.29,0.23,0.05,72.8
2010,2,0,1,0.29,0.23,0.05,58.59
1994,2,0,1,0.3,0.21,0.09,67.12
1998,2,0,1,0.3,0.21,0.09,61.63
1988,2,0,0,0.38,0.21,0.01,29.58
1992,2,0,1,0.38,0.21,0.01,82.65
2000,2,0,1,0.38,0.21,0.01,57.61
1992,2,0,0,0.29,0.13,0.11,66.21
1993,2,1,0,0.19,0.48,0.19,61.92
1994,2,1,0,0.19,0.48,0.19,71.64
1998,3,1,1,0.19,0.48,0.19,63.02
2002,2,0,0,0.19,0.48,0.19,56.59
2006,4,1,0,0.19,0.48,0.19,42.48
2010,3,1,1,0.19,0.48,0.19,45.45
1993,2,0,0,0.35,0.24,0.08,73.46
1997,2,0,0,0.35,0.24,0.08,63.46
2001,2,1,0,0.35,0.24,0.08,43.67
2005,3,1,1,0.35,0.24,0.08,53.64
2007,2,0,0,0.35,0.24,0.08,31.64
1990,2,1,0,0.3,0.33,0.09,68.73
1997,5,0,1,0.3,0.33,0.09,27.54
1998,4,0,1,0.3,0.33,0.09,52.23
2002,3,0,1,0.3,0.33,0.09,46.35
2003,4,0,1,0.3,0.33,0.09,51.95
2006,2,0,1,0.3,0.33,0.09,35.75
2010,2,0,0,0.3,0.33,0.09,37.63
2004,3,0,0,0.33,0.19,0.07,41.91
1990,1,0,0,0.28,0.49,0.21,86.39
1994,3,0,0,0.28,0.49,0.21,83.64
1998,3,1,0,0.28,0.49,0.21,67.5
2002,4,1,0,0.28,0.49,0.21,69.29
2006,3,1,0,0.28,0.49,0.21,65.5
1994,2,1,1,0.24,0.64,0.21,70.38
1998,4,1,1,0.24,0.64,0.21,53.31
2006,3,1,1,0.24,0.64,0.21,52.15
2010,3,1,0,0.24,0.64,0.21,24.76
1988,3,1,0,0.3,0.24,0.15,61.2
1992,3,0,0,0.3,0.24,0.15,67.59
1996,2,0,1,0.3,0.24,0.15,63.47
2000,2,0,1,0.3,0.24,0.15,54.31
2004,4,0,1,0.3,0.24,0.15,56.09
1990,2,0,0,0.37,0.19,0.08,69.27
1998,2,0,0,0.37,0.19,0.08,48.33
2006,2,1,1,0.37,0.19,0.08,25.94
2010,3,0,1,0.37,0.19,0.08,34.7
1993,2,0,0,0.31,0.24,0.08,59.3
1997,3,0,0,0.31,0.24,0.08,58.58
2008,7,1,1,0.31,0.24,0.08,46.46
2009,3,0,1,0.31,0.24,0.08,45.73
1990,2,1,0,0.3,0.42,0.16,85.57
1994,3,1,0,0.3,0.42,0.16,69.7
1994,2,1,0,0.3,0.42,0.16,79.88
1998,3,1,0,0.3,0.42,0.16,63.33
2006,3,1,1,0.3,0.42,0.16,66.22
2010,3,1,0,0.3,0.42,0.16,73.8
1993,2,1,0,0.34,0.38,0.13,60.52
2001,2,1,0,0.34,0.38,0.13,53.48
2005,3,1,0,0.34,0.38,0.13,55.84
2009,3,1,0,0.34,0.38,0.13,55.73
2010,4,1,1,0.34,0.38,0.13,55.67
1994,3,0,1,0.28,0.37,0.13,65.6
2002,1,1,0,0.28,0.37,0.13,51.37
2006,2,1,0,0.28,0.37,0.13,57.28
2010,8,1,0,0.28,0.37,0.13,49.79
1994,2,0,0,0.23,0.43,0.12,57.57
1998,2,0,0,0.23,0.43,0.12,48.38
2002,2,1,0,0.23,0.43,0.12,48.52
2006,1,0,0,0.23,0.43,0.12,39.77
2010,4,1,0,0.23,0.43,0.12,39.09
1990,1,0,0,0.23,0.41,0.11,69.61
1994,3,0,0,0.23,0.41,0.11,62.1
1998,2,0,0,0.23,0.41,0.11,51.94
2002,2,0,1,0.23,0.41,0.11,43.38
2006,2,0,0,0.23,0.41,0.11,47.38
1990,2,0,0,0.35,0.16,0.03,79.35
1994,2,0,0,0.35,0.16,0.03,73.43
2006,2,0,1,0.35,0.16,0.03,46.34
1994,2,0,0,0.29,0.27,0.14,67.12
2002,3,0,0,0.29,0.27,0.14,36.84
2010,2,0,0,0.29,0.27,0.14,29.14
1994,2,0,1,0.3,0.12,0.07,50.94
2002,3,0,1,0.3,0.12,0.07,42.01
2006,2,0,1,0.3,0.12,0.07,39.15
2010,3,0,0,0.3,0.12,0.07,36.29
1990,2,0,0,0.35,0.41,0.17,68.16
1994,3,0,0,0.35,0.41,0.17,73.67
1998,4,0,0,0.35,0.41,0.17,65.37
2006,3,1,0,0.35,0.41,0.17,58.13
2010,2,1,0,0.35,0.41,0.17,56.72